================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 510, time: 0.446, data: 0.000) , D_A: 0.197, G_A: 0.261, cycle_A: 3.330, idt_A: 0.000, D_B: 0.228, G_B: 0.674, cycle_B: 3.721, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 520, time: 0.497, data: 0.000) , D_A: 0.141, G_A: 0.433, cycle_A: 3.144, idt_A: 0.000, D_B: 0.289, G_B: 0.406, cycle_B: 3.294, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 530, time: 0.488, data: 0.000) , D_A: 0.128, G_A: 0.485, cycle_A: 3.156, idt_A: 0.000, D_B: 0.190, G_B: 0.646, cycle_B: 2.359, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 540, time: 0.445, data: 0.000) , D_A: 0.238, G_A: 0.231, cycle_A: 5.540, idt_A: 0.000, D_B: 0.078, G_B: 0.549, cycle_B: 2.666, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 550, time: 0.564, data: 0.000) , D_A: 0.129, G_A: 0.197, cycle_A: 3.080, idt_A: 0.000, D_B: 0.209, G_B: 0.336, cycle_B: 2.313, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 560, time: 0.435, data: 0.000) , D_A: 0.229, G_A: 0.267, cycle_A: 5.088, idt_A: 0.000, D_B: 0.240, G_B: 0.549, cycle_B: 6.252, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 570, time: 0.444, data: 0.000) , D_A: 0.125, G_A: 0.514, cycle_A: 2.996, idt_A: 0.000, D_B: 0.217, G_B: 0.803, cycle_B: 2.224, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 580, time: 0.481, data: 0.000) , D_A: 0.192, G_A: 0.545, cycle_A: 2.844, idt_A: 0.000, D_B: 0.266, G_B: 0.308, cycle_B: 3.788, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 590, time: 0.453, data: 0.000) , D_A: 0.238, G_A: 0.193, cycle_A: 4.236, idt_A: 0.000, D_B: 0.200, G_B: 0.780, cycle_B: 3.208, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 600, time: 0.547, data: 0.000) , D_A: 0.193, G_A: 0.350, cycle_A: 2.020, idt_A: 0.000, D_B: 0.223, G_B: 0.391, cycle_B: 2.498, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 610, time: 0.454, data: 0.000) , D_A: 0.164, G_A: 0.284, cycle_A: 2.916, idt_A: 0.000, D_B: 0.326, G_B: 0.196, cycle_B: 4.921, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 620, time: 0.447, data: 0.000) , D_A: 0.261, G_A: 0.358, cycle_A: 5.386, idt_A: 0.000, D_B: 0.264, G_B: 0.145, cycle_B: 4.404, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 630, time: 0.452, data: 0.000) , D_A: 0.300, G_A: 0.306, cycle_A: 2.275, idt_A: 0.000, D_B: 0.226, G_B: 0.337, cycle_B: 3.199, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 640, time: 0.503, data: 0.000) , D_A: 0.243, G_A: 0.353, cycle_A: 3.484, idt_A: 0.000, D_B: 0.238, G_B: 0.412, cycle_B: 3.139, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 650, time: 0.456, data: 0.000) , D_A: 0.306, G_A: 0.443, cycle_A: 2.152, idt_A: 0.000, D_B: 0.213, G_B: 0.391, cycle_B: 2.662, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 660, time: 0.488, data: 0.000) , D_A: 0.366, G_A: 0.505, cycle_A: 1.828, idt_A: 0.000, D_B: 0.253, G_B: 0.165, cycle_B: 4.567, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 670, time: 0.452, data: 0.000) , D_A: 0.261, G_A: 0.260, cycle_A: 4.855, idt_A: 0.000, D_B: 0.074, G_B: 0.306, cycle_B: 2.346, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 680, time: 0.585, data: 0.000) , D_A: 0.138, G_A: 0.282, cycle_A: 2.379, idt_A: 0.000, D_B: 0.360, G_B: 0.600, cycle_B: 2.699, idt_B: 0.000

